"# sample","citing DOI","reference count","# reference","DOI","reference","key","author","year","article-title","journal-title","volume","issue","first-page","volume-title","edition","series-title","standards-body","ISSN","issn-type","ISBN","isbn-type","component","unstructured"
"10","10.1515/ijnes-2017-0012","8","1",NA,"ref21, 2008, Reading Statistics and Research","ref21",NA,"2008",NA,NA,"Reading Statistics and Research",NA,NA,"Reading Statistics and Research",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","10.1007/s40134-017-0216-x","33","1","10.1007/s40134-016-0163-y","6, 216_CR1, publisher, 1, 10.1007/s40134-016-0163-y, 4, O Kraff, 2016, Kraff O, Ladd ME. MR safety update 2015: where do the risks come from? Curr Radiol Rep. 2016;4(6):1–6., Curr Radiol Rep","216_CR1","O Kraff","2016",NA,"Curr Radiol Rep","4","6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kraff O, Ladd ME. MR safety update 2015: where do the risks come from? Curr Radiol Rep. 2016;4(6):1–6."
"12","10.1515/chem-2016-0035","51","41",NA,"ref61, 166, Wheat cysteine proteases triticain a ß and <U+03B3> exhibit mutually distinct responses to gibberellin in germinating seeds Wheat cysteine proteases triticain a ß and <U+03B3> exhibit mutually distinct responses to gibberellin in germinating seedsJ, 7, Kiyosaki, 2009, Plant Physiol Plant Physiol","ref61","Kiyosaki","2009","Wheat cysteine proteases triticain a ß and <U+03B3> exhibit mutually distinct responses to gibberellin in germinating seeds Wheat cysteine proteases triticain a ß and <U+03B3> exhibit mutually distinct responses to gibberellin in germinating seedsJ","Plant Physiol Plant Physiol","7",NA,"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","10.1038/srep11267","42","16","10.1097/EDE.0b013e3181567fc5","BFsrep11267_CR16, publisher, 678, 10.1097/EDE.0b013e3181567fc5, 18, NL Fleischer, 2007, Fleischer, N. L., Fernald, L. C. & Hubbard, A. E. Depressive symptoms in low-income women in rural Mexico. Epidemiology 18, 678–685 (2007)., Epidemiology","BFsrep11267_CR16","NL Fleischer","2007",NA,"Epidemiology","18",NA,"678",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fleischer, N. L., Fernald, L. C. & Hubbard, A. E. Depressive symptoms in low-income women in rural Mexico. Epidemiology 18, 678–685 (2007)."
"14","10.1007/s13206-016-1105-8","26","3",NA,"1105_CR3, T. Hollingworth, 881, 1990, Hollingworth, T. & Wekell, M.M. Paralytic shellfish poison biological method. Final action. in Official Methods of Analysis, 15th ed. (ed. K. Hellrich), AOAC International, Rockville, USA. pp. 881–882 (1990), Official Methods of Analysis, 15th ed.","1105_CR3","T. Hollingworth","1990",NA,NA,"Official Methods of Analysis, 15th ed.",NA,"881","Official Methods of Analysis, 15th ed.",NA,NA,NA,NA,NA,NA,NA,NA,"Hollingworth, T. & Wekell, M.M. Paralytic shellfish poison biological method. Final action. in Official Methods of Analysis, 15th ed. (ed. K. Hellrich), AOAC International, Rockville, USA. pp. 881–882 (1990)"
"15","10.5334/sta.433","50","42","10.1080/17440572.2010.490634","3, key20160205091719_B42, crossref, 299, 10.1080/17440572.2010.490634, Correlates of distance to crime in Mexico City, 11, Vilalta, 2010, Global Crime","key20160205091719_B42","Vilalta","2010","Correlates of distance to crime in Mexico City","Global Crime","11","3","299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","10.1038/gim.2017.166","16","13","10.1177/146879410100100307","110_CR13, crossref, 385, 10.1177/146879410100100307, 1, J Attride-Stirling, 2001, Attride-Stirling J. Thematic networks: an analytic tool for qualitative research. Qual Res 2001;1:385–405., Qual Res","110_CR13","J Attride-Stirling","2001",NA,"Qual Res","1",NA,"385",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attride-Stirling J. Thematic networks: an analytic tool for qualitative research. Qual Res 2001;1:385–405."
"17","10.1017/s1366728917000335","33","21","10.1093/applin/amp044","S1366728917000335_ref070, 10.1093/applin/amp044, publisher","S1366728917000335_ref070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10.1063/1.4940387","12","2","10.1038/srep02904","c2, 10.1038/srep02904, publisher","c2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10.1007/s10904-015-0290-6","13","8","10.1016/j.measurement.2014.10.016","290_CR8, crossref, 146, 10.1016/j.measurement.2014.10.016, 60, D Maheswari, 2014, D. Maheswari, P. Venkatachalam, Enhancing the performance of dye-sensitized solar cells based on organic dye sensitized TiO2 nanoparticles/nanowires composite photoanodes with ionic liquid electrolyte. Measurement 60, 146–154 (2014), Measurement","290_CR8","D Maheswari","2014",NA,"Measurement","60",NA,"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D. Maheswari, P. Venkatachalam, Enhancing the performance of dye-sensitized solar cells based on organic dye sensitized TiO2 nanoparticles/nanowires composite photoanodes with ionic liquid electrolyte. Measurement 60, 146–154 (2014)"
"20","10.1080/00140139.2017.1414301","53","50","10.1080/14639220210123806","CIT0059, 10.1080/14639220210123806, publisher","CIT0059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10.1080/15384101.2017.1281478","41","8","10.1038/nrc3419","cit0008, 10.1038/nrc3419, publisher","cit0008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10.1039/c5tx00029g","67","28","10.1016/j.nano.2013.07.004","C5TX00029G-(cit28)/*[position()=1], Zhao, 10, 89, 2014, Nanomedicine, 10.1016/j.nano.2013.07.004, crossref","C5TX00029G-(cit28)/*[position()=1]","Zhao","2014",NA,"Nanomedicine","10",NA,"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","10.1186/s13293-017-0151-9","52","45","10.1016/j.steroids.2015.01.004","151_CR45, crossref, 7, 10.1016/j.steroids.2015.01.004, 96, SP Kaur, 2015, Kaur SP, Bansal S, Chopra K. 17a-Estradiol: a candidate neuroserm and non-feminizing estrogen for postmenopausal neuronal complications. Steroids. 2015;96:7–15., Steroids","151_CR45","SP Kaur","2015",NA,"Steroids","96",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kaur SP, Bansal S, Chopra K. 17a-Estradiol: a candidate neuroserm and non-feminizing estrogen for postmenopausal neuronal complications. Steroids. 2015;96:7–15."
"24","10.1039/c6nr09613a","59","15","10.1039/c1cc00076d","C6NR09613A-(cit15)/*[position()=1], Xue, 47, 5205, 2011, Chem. Commun., 10.1039/c1cc00076d, crossref","C6NR09613A-(cit15)/*[position()=1]","Xue","2011",NA,"Chem. Commun.","47",NA,"5205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","10.1093/mnras/stw598","56","35","10.1007/BF02702453","2016041317171796000_459.1.233.35, Omar, 26, 89, 2005, J. Astrophys. Astron., 10.1007/BF02702453, crossref","2016041317171796000_459.1.233.35","Omar","2005",NA,"J. Astrophys. Astron.","26",NA,"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","10.1186/s13049-016-0285-5","21","14","10.1016/j.wombi.2014.10.007","285_CR14, crossref, 16, 10.1016/j.wombi.2014.10.007, 28, YL Hauck, 2015, Hauck YL, Lewis L, Nathan EA, White C, Doherty DA. Risk factors for severe perineal trauma during vaginal childbirth: a Western Australian retrospective cohort study. Women Birth. 2015;28:16–20., Women Birth","285_CR14","YL Hauck","2015",NA,"Women Birth","28",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hauck YL, Lewis L, Nathan EA, White C, Doherty DA. Risk factors for severe perineal trauma during vaginal childbirth: a Western Australian retrospective cohort study. Women Birth. 2015;28:16–20."
"27","10.1007/s40278-017-33385-2","1","1",NA,"33385_CR1, Goldenberg NM, et al. Exogenous estrogens and thrombotic risk in male to female transsexual individuals. Endocrine Reviews 38: No. 3, 01 Jun 2017 [abstract] - USA","33385_CR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goldenberg NM, et al. Exogenous estrogens and thrombotic risk in male to female transsexual individuals. Endocrine Reviews 38: No. 3, 01 Jun 2017 [abstract] - USA"
"28","10.3390/app6040108","43","7","10.3390/s151024791","ref7, 10.3390/s151024791, publisher","ref7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","10.3389/fpls.2016.00651","76","10","10.3389/fpls.2012.00053","53, B10, publisher, 10.3389/fpls.2012.00053, New aspects of phloem-mediated long-distance lipid signaling in plants., 3, Benning, 2012, Front. Plant Sci.","B10","Benning","2012","New aspects of phloem-mediated long-distance lipid signaling in plants.","Front. Plant Sci.","3","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","10.1017/s0020818316000345","55","12","10.1002/jid.2861","S0020818316000345_ref32, 10.1002/jid.2861, publisher","S0020818316000345_ref32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","10.1111/1747-0080.12178","60","60","10.1111/1747-0080.12095","10.1111/1747-0080.12178-BIB0060|ndi12178-cit-0060, crossref, 91, 10.1111/1747-0080.12095, Mental health role statement: the role of dietitians in mental health and the role of a statement, 72, Soh, 2015, Nutr & Diet","10.1111/1747-0080.12178-BIB0060|ndi12178-cit-0060","Soh","2015","Mental health role statement: the role of dietitians in mental health and the role of a statement","Nutr & Diet","72",NA,"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","10.3390/biology6010011","152","61","10.1074/jbc.M110.123638","ref61, 10.1074/jbc.M110.123638, publisher","ref61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","10.21684/2411-197x-2016-2-3-205-216","10","4",NA,"ref4, <U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430>, 2013, <U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430> <U+0415>. <U+041C>. <U+041A><U+043E><U+043D><U+0446><U+0435><U+043F><U+0442><U+0443><U+0430><U+043B><U+044C><U+043D><U+044B><U+0435> <U+043E><U+0441><U+043D><U+043E><U+0432><U+044B> <U+043F><U+043E><U+0434><U+0433><U+043E><U+0442><U+043E><U+0432><U+043A><U+0438> <U+0441><U+0442><U+0443><U+0434><U+0435><U+043D><U+0442><U+043E><U+0432> <U+043A> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+044E> <U+0431><U+0443><U+0434><U+0443><U+0449><U+0435><U+0439> <U+043F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0441><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0439> <U+0434><U+0435><U+044F><U+0442><U+0435><U+043B><U+044C><U+043D><U+043E><U+0441><U+0442><U+0438> / <U+0415>. <U+041C>. <U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430>. <U+041D>. <U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434>: <U+041D><U+0413><U+041F><U+0423> <U+0438><U+043C>. <U+041A>. <U+041C><U+0438><U+043D><U+0438><U+043D><U+0430>, 2013. 156 <U+0441>., <U+041A><U+043E><U+043D><U+0446><U+0435><U+043F><U+0442><U+0443><U+0430><U+043B><U+044C><U+043D><U+044B><U+0435> <U+043E><U+0441><U+043D><U+043E><U+0432><U+044B> <U+043F><U+043E><U+0434><U+0433><U+043E><U+0442><U+043E><U+0432><U+043A><U+0438> <U+0441><U+0442><U+0443><U+0434><U+0435><U+043D><U+0442><U+043E><U+0432> <U+043A> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+044E> <U+0431><U+0443><U+0434><U+0443><U+0449><U+0435><U+0439> <U+043F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0441><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0439> <U+0434><U+0435><U+044F><U+0442><U+0435><U+043B><U+044C><U+043D><U+043E><U+0441><U+0442><U+0438> / <U+0415> <U+041C> <U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430> <U+041D> <U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434>","ref4","<U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430>","2013",NA,NA,"<U+041A><U+043E><U+043D><U+0446><U+0435><U+043F><U+0442><U+0443><U+0430><U+043B><U+044C><U+043D><U+044B><U+0435> <U+043E><U+0441><U+043D><U+043E><U+0432><U+044B> <U+043F><U+043E><U+0434><U+0433><U+043E><U+0442><U+043E><U+0432><U+043A><U+0438> <U+0441><U+0442><U+0443><U+0434><U+0435><U+043D><U+0442><U+043E><U+0432> <U+043A> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+044E> <U+0431><U+0443><U+0434><U+0443><U+0449><U+0435><U+0439> <U+043F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0441><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0439> <U+0434><U+0435><U+044F><U+0442><U+0435><U+043B><U+044C><U+043D><U+043E><U+0441><U+0442><U+0438> / <U+0415> <U+041C> <U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430> <U+041D> <U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434>",NA,NA,"<U+041A><U+043E><U+043D><U+0446><U+0435><U+043F><U+0442><U+0443><U+0430><U+043B><U+044C><U+043D><U+044B><U+0435> <U+043E><U+0441><U+043D><U+043E><U+0432><U+044B> <U+043F><U+043E><U+0434><U+0433><U+043E><U+0442><U+043E><U+0432><U+043A><U+0438> <U+0441><U+0442><U+0443><U+0434><U+0435><U+043D><U+0442><U+043E><U+0432> <U+043A> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+044E> <U+0431><U+0443><U+0434><U+0443><U+0449><U+0435><U+0439> <U+043F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0441><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0439> <U+0434><U+0435><U+044F><U+0442><U+0435><U+043B><U+044C><U+043D><U+043E><U+0441><U+0442><U+0438> / <U+0415> <U+041C> <U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430> <U+041D> <U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434>",NA,NA,NA,NA,NA,NA,NA,NA,"<U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430> <U+0415>. <U+041C>. <U+041A><U+043E><U+043D><U+0446><U+0435><U+043F><U+0442><U+0443><U+0430><U+043B><U+044C><U+043D><U+044B><U+0435> <U+043E><U+0441><U+043D><U+043E><U+0432><U+044B> <U+043F><U+043E><U+0434><U+0433><U+043E><U+0442><U+043E><U+0432><U+043A><U+0438> <U+0441><U+0442><U+0443><U+0434><U+0435><U+043D><U+0442><U+043E><U+0432> <U+043A> <U+043F><U+0440><U+043E><U+0435><U+043A><U+0442><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+044E> <U+0431><U+0443><U+0434><U+0443><U+0449><U+0435><U+0439> <U+043F><U+0440><U+043E><U+0444><U+0435><U+0441><U+0441><U+0438><U+043E><U+043D><U+0430><U+043B><U+044C><U+043D><U+043E><U+0439> <U+0434><U+0435><U+044F><U+0442><U+0435><U+043B><U+044C><U+043D><U+043E><U+0441><U+0442><U+0438> / <U+0415>. <U+041C>. <U+041A><U+043E><U+0447><U+043D><U+0435><U+0432><U+0430>. <U+041D>. <U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434>: <U+041D><U+0413><U+041F><U+0423> <U+0438><U+043C>. <U+041A>. <U+041C><U+0438><U+043D><U+0438><U+043D><U+0430>, 2013. 156 <U+0441>."
"34","10.1002/chem.201700912","95","40","10.1002/ange.201002916","10.1002/chem.201700912-BIB0008d.2|chem201700912-cit-0040, 122, 6331, 2010, Angew. Chem., 10.1002/ange.201002916, crossref","10.1002/chem.201700912-BIB0008d.2|chem201700912-cit-0040",NA,"2010",NA,"Angew. Chem.","122",NA,"6331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","10.1007/s00221-015-4458-7","28","21","10.3109/00016488909107385","4458_CR19, crossref, 1, 10.3109/00016488909107385, 108, GD Paige, 1989, Paige GD (1989) Nonlinearity and asymmetry in the human vestibulo-ocular reflex. Acta Otolaryngol 108:1–8, Acta Otolaryngol","4458_CR19","GD Paige","1989",NA,"Acta Otolaryngol","108",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paige GD (1989) Nonlinearity and asymmetry in the human vestibulo-ocular reflex. Acta Otolaryngol 108:1–8"
"36","10.1093/jmammal/gyw128","84","47","10.3398/064.073.0412","2017010407101321000_97.6.1495.47, 10.3398/064.073.0412, publisher","2017010407101321000_97.6.1495.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","10.1007/s00027-016-0513-0","58","27","10.1016/j.baae.2007.11.003","513_CR28, crossref, 598, 10.1016/j.baae.2007.11.003, 9, A Lecerf, 2008, Lecerf A, Chauvet E (2008) Intraspecific variability in leaf traits strongly affects alder leaf decomposition in a stream. Basic Appl Ecol 9:598–605, Basic Appl Ecol","513_CR28","A Lecerf","2008",NA,"Basic Appl Ecol","9",NA,"598",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lecerf A, Chauvet E (2008) Intraspecific variability in leaf traits strongly affects alder leaf decomposition in a stream. Basic Appl Ecol 9:598–605"
"38","10.1590/1806-90882017000600005","37","25",NA,"91, ref25, 309, Multiplicação in vitro de Eucalyptus grandis x E. urophylla cultivado em meio semissólido e em biorreator de imersão temporária, 39, Oliveira ML, 2011, Scientia Forestalis","ref25","Oliveira ML","2011","Multiplicação in vitro de Eucalyptus grandis x E. urophylla cultivado em meio semissólido e em biorreator de imersão temporária","Scientia Forestalis","39","91","309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","10.1002/ange.201606137","51","32",NA,"10.1002/ange.201606137-BIB0010f|ange201606137-cit-0032, Shaikh, 6, 2333, 2011, Int. J. Electrochem. Sci.","10.1002/ange.201606137-BIB0010f|ange201606137-cit-0032","Shaikh","2011",NA,"Int. J. Electrochem. Sci.","6",NA,"2333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","10.1007/s10353-015-0374-0","29","18","10.1186/1471-2482-13-12","374_CR18, crossref, 12, 10.1186/1471-2482-13-12, 13, M Distler, 2013, Distler M, Rückert F, Hunger M, Kersting S, Pilarsky C, Saeger H-D, et al. Evaluation of survival in patients after pancreatic head resection for ductal adenocarcinoma. BMC Surg. 2013;13:12., BMC Surg","374_CR18","M Distler","2013",NA,"BMC Surg","13",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Distler M, Rückert F, Hunger M, Kersting S, Pilarsky C, Saeger H-D, et al. Evaluation of survival in patients after pancreatic head resection for ductal adenocarcinoma. BMC Surg. 2013;13:12."
"41","10.1017/jfm.2015.758","44","17","10.1063/1.3054128","S0022112015007582_r26, 10.1063/1.3054128, publisher","S0022112015007582_r26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","10.3233/asy-151285","13","13",NA,"10.3233/ASY-151285_ref13, 571, Sulla convergenza di soluzioni di equazioni paraboliche ed ellittiche, 22, Spagnolo, 1968, Ann. Scuola Norm. Sup. Pisa Cl. Sci.","10.3233/ASY-151285_ref13","Spagnolo","1968","Sulla convergenza di soluzioni di equazioni paraboliche ed ellittiche","Ann. Scuola Norm. Sup. Pisa Cl. Sci.","22",NA,"571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","10.1007/s00227-017-3094-0","86","50","10.1101/SQB.1957.022.01.039","3094_CR50, crossref, 415, 10.1101/SQB.1957.022.01.039, 22, GE Hutchinson, 1957, Hutchinson GE (1957) Concluding remarks. Cold Spring Harbour. Symp Quant Biol 22:415–427, Symp Quant Biol","3094_CR50","GE Hutchinson","1957",NA,"Symp Quant Biol","22",NA,"415",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hutchinson GE (1957) Concluding remarks. Cold Spring Harbour. Symp Quant Biol 22:415–427"
"44","10.1007/s15002-017-1164-9","23","5",NA,"2, 1164_CR5, 245, 18, J. Cassisi, 1993, Cassisi J, Robinson M, MacMillan M. Trunk Strength and Lumbar Paraspinal Muscle Activity During Isometric. Exercise in Chronic Low-Back Pain Patients and Controls. Spinejournal (1993) 18(2):245–51, Spinejournal","1164_CR5","J. Cassisi","1993",NA,"Spinejournal","18","2","245",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cassisi J, Robinson M, MacMillan M. Trunk Strength and Lumbar Paraspinal Muscle Activity During Isometric. Exercise in Chronic Low-Back Pain Patients and Controls. Spinejournal (1993) 18(2):245–51"
"45","10.1007/s12161-017-0880-8","151","4",NA,"880_CR4, Agoha, R.C. (1974). Medicinal Plant of Nigeria; Offset-Happen, Netherlands, pp. 86.","880_CR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agoha, R.C. (1974). Medicinal Plant of Nigeria; Offset-Happen, Netherlands, pp. 86."
"46","10.1177/0884533615598965","8","4","10.1097/01.mpg.0000181841.07090.f4","bibr4-0884533615598965, 10.1097/01.mpg.0000181841.07090.f4, publisher","bibr4-0884533615598965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","10.1177/1078155215611070","2","1","10.1177/1078155212468923","bibr1-1078155215611070, 10.1177/1078155212468923, publisher","bibr1-1078155215611070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","10.3171/2015.1.jns142757","49","11","10.3171/jns.1988.69.5.0723","b11-jns142757, 10.3171/jns.1988.69.5.0723, publisher","b11-jns142757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","10.1142/s0217732317300348","21","9","10.1007/JHEP11(2014)059","S0217732317300348BIB009, 10.1007/JHEP11(2014)059, publisher","S0217732317300348BIB009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","10.3758/s13420-014-0166-6","30","1",NA,"166_CR1, 671, 50, F Carpentier, 2000, Carpentier, F., Smeets, P. M., & Barnes-Holmes, D. (2000). Matching compound samples with unitary comparisons: Derived stimulus relations in adults and children. The Psychological Record, 50, 671–685., The Psychological Record","166_CR1","F Carpentier","2000",NA,"The Psychological Record","50",NA,"671",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carpentier, F., Smeets, P. M., & Barnes-Holmes, D. (2000). Matching compound samples with unitary comparisons: Derived stimulus relations in adults and children. The Psychological Record, 50, 671–685."
"51","10.4000/rga.2910","22","9","10.1007/s12665-014-3087-y","ref8, 10.1007/s12665-014-3087-y, publisher","ref8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
